rank,word,part_of_speech,meaning,sentence_example_polish,english_translation,source_reference
1,nie,particle,"; no, not",,,https://en.wiktionary.org/wiki/nie
2,to,conjunction,be,,,https://en.wiktionary.org/wiki/to
3,się,,reflexive particle,,,https://en.wiktionary.org/wiki/si%C4%99
4,na,preposition,; on,,,https://en.wiktionary.org/wiki/na
5,co,pronoun,; what,,,https://en.wiktionary.org/wiki/co
6,że,,that,,,https://en.wiktionary.org/wiki/%C5%BCe
7,jest,verb,; is,,,https://en.wiktionary.org/wiki/jest
8,do,preposition,"; to, toward",,,https://en.wiktionary.org/wiki/do
9,tak,adverb,like this; so,,,https://en.wiktionary.org/wiki/tak
10,jak,pronoun,how,,,https://en.wiktionary.org/wiki/jak
11,mnie,pronoun,me,,,https://en.wiktionary.org/wiki/mnie
12,ale,conjunction,but,,,https://en.wiktionary.org/wiki/ale
13,mi,pronoun,to me,,,https://en.wiktionary.org/wiki/mi
14,za,particle,"overly, excessively, too",,,https://en.wiktionary.org/wiki/za
15,ja,pronoun,; I,,,https://en.wiktionary.org/wiki/ja
16,ci,pronoun,.,,,https://en.wiktionary.org/wiki/ci
17,tu,adverb,here,,,https://en.wiktionary.org/wiki/tu
18,go,pronoun,him / it,,,https://en.wiktionary.org/wiki/go
19,tego,pronoun,this / that,,,https://en.wiktionary.org/wiki/tego
20,tym,particle,; the,,,https://en.wiktionary.org/wiki/tym
21,ty,pronoun,you,,,https://en.wiktionary.org/wiki/ty
22,czy,particle,; whether,,,https://en.wiktionary.org/wiki/czy
23,tylko,conjunction,"except, only, just",,,https://en.wiktionary.org/wiki/tylko
24,po,preposition,after,,,https://en.wiktionary.org/wiki/po
25,jestem,verb,I am,,,https://en.wiktionary.org/wiki/jestem
26,cię,,you,,,https://en.wiktionary.org/wiki/ci%C4%99
27,ma,verb,has,,,https://en.wiktionary.org/wiki/ma
28,może,,maybe / can,,,https://en.wiktionary.org/wiki/mo%C5%BCe
29,już,,already,,,https://en.wiktionary.org/wiki/ju%C5%BC
